2014/07/01,"[0.3480856120586395, -5.010905742645264, 12.542344093322754, 21.46975326538086, -12.558135986328125, -31.755823135375977, 24.54935646057129, 20.66758918762207, -20.94326400756836, 2.3401801586151123]"
2014/07/02,"[-1.3030630350112915, 2.803765058517456, 1.5568840503692627, 10.488727569580078, -6.739004611968994, -4.408116817474365, 1.2771278619766235, 5.223626136779785, -2.635770320892334, -5.046882152557373]"
2014/07/03,"[4.884224891662598, -9.139116287231445, 18.805387496948242, 5.958654403686523, -2.9519667625427246, -35.004234313964844, 35.73776626586914, 13.760944366455078, -29.598867416381836, 9.748576164245605]"
2014/07/05,"[-1.3065093755722046, 0.8941777348518372, 0.36019977927207947, 3.5328023433685303, -2.771209239959717, -3.5067477226257324, 2.6287124156951904, 2.427481174468994, -2.3514366149902344, -1.9622454643249512]"
2014/07/06,"[-0.5195998549461365, -2.4184560775756836, 7.8654961585998535, 10.214730262756348, -5.6549272537231445, -19.74026870727539, 17.259531021118164, 10.254632949829102, -14.807504653930664, -0.636857807636261]"
2014/07/07,"[0.2468729019165039, -3.6038739681243896, 8.605395317077637, 7.939516067504883, -4.986379623413086, -19.763057708740234, 18.1367130279541, 9.041609764099121, -15.483259201049805, 0.7877556681632996]"
2014/07/09,"[-0.16663137078285217, -1.7309091091156006, 9.818952560424805, 15.229646682739258, -8.117294311523438, -22.295726776123047, 19.440336227416992, 13.033796310424805, -17.293787002563477, -0.7195890545845032]"
2014/07/10,"[-1.666500210762024, -0.056520380079746246, 5.4010233879089355, 12.78231143951416, -7.752509117126465, -15.687525749206543, 12.507081985473633, 9.964437484741211, -12.285186767578125, -2.8737881183624268]"
2014/07/11,"[0.7165342569351196, -4.194989204406738, 13.566197395324707, 1.989013910293579, -0.3713688254356384, -27.961383819580078, 31.579099655151367, 7.733595848083496, -25.33068084716797, 4.21548318862915]"
2014/07/12,"[2.953843116760254, -5.842536926269531, 16.988489151000977, 5.744103908538818, -0.9570227265357971, -30.748729705810547, 32.83415222167969, 10.815017700195312, -26.349924087524414, 6.247148036956787]"
