original_date,previous_date,wins_today,wins_last_game,away_win,away_loss,away_team_hits,away_team_errors,away_team_hr,away_team_sb,away_team_so,home_win,home_loss,home_team_hits,home_team_errors,home_team_hr,home_team_sb,home_team_so,away_team_runs,home_team_runs,isHome,score_diff,opponentAngels,opponentAstros,opponentAthletics,opponentBlue.Jays,opponentBraves,opponentBrewers,opponentCardinals,opponentCubs,opponentD.backs,opponentDodgers,opponentGiants,opponentIndians,opponentMariners,opponentMarlins,opponentMets,opponentNationals,opponentPadres,opponentPhillies,opponentPirates,opponentRangers,opponentRays,opponentRed.Sox,opponentReds,opponentRockies,opponentRoyals,opponentTides,opponentTigers,opponentTwins,opponentWhite.Sox,opponentYankees,Prev_opponentAngels,Prev_opponentAstros,Prev_opponentAthletics,Prev_opponentBlue.Jays,Prev_opponentBraves,Prev_opponentBrewers,Prev_opponentCardinals,Prev_opponentCubs,Prev_opponentD.backs,Prev_opponentDodgers,Prev_opponentGiants,Prev_opponentIndians,Prev_opponentMariners,Prev_opponentMarlins,Prev_opponentMets,Prev_opponentNationals,Prev_opponentPadres,Prev_opponentPhillies,Prev_opponentPirates,Prev_opponentRangers,Prev_opponentRays,Prev_opponentRed.Sox,Prev_opponentReds,Prev_opponentRockies,Prev_opponentRoyals,Prev_opponentTides,Prev_opponentTigers,Prev_opponentTwins,Prev_opponentWhite.Sox,Prev_opponentYankees
4/18/14,4/16/14,1,1,7,8,6,1,0,0,7,7,7,6,0,0,2,9,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4/19/14,4/18/14,0,1,8,7,15,0,0,1,7,7,10,11,0,0,0,8,8,4,-1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4/20/14,4/19/14,0,0,8,8,5,1,0,2,8,8,10,6,1,1,0,11,2,4,-1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4/21/14,4/20/14,1,0,8,9,12,3,1,0,9,9,10,8,0,1,2,9,5,6,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4/22/14,4/21/14,0,1,9,9,10,0,0,0,9,9,11,11,0,2,0,2,7,6,-1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4/23/14,4/22/14,1,0,9,10,8,1,1,0,10,11,9,9,0,3,0,8,3,9,-1,-6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/24/14,4/23/14,1,1,10,10,12,0,4,0,12,11,10,16,0,3,0,8,10,8,-1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/25/14,4/24/14,0,1,11,10,14,0,1,3,5,11,11,7,0,2,0,12,11,4,-1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/26/14,4/25/14,1,0,11,11,11,0,0,1,10,11,11,7,1,0,0,5,5,0,1,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4/27/14,4/26/14,0,1,11,12,11,2,0,0,6,12,11,8,0,0,0,7,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5/1/14,4/27/14,1,0,12,12,13,1,1,1,10,12,12,5,1,1,0,4,9,3,1,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
