date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
2014-06-28,3.663003663e-05,3.663003663e-05,3.663003663e-05,3.663003663e-05,3.663003663e-05,3.663003663e-05,3.663003663e-05,3.663003663e-05,3.663003663e-05,0.819153898152,3.663003663e-05,3.663003663e-05,3.663003663e-05,3.663003663e-05,3.663003663e-05,3.663003663e-05,3.663003663e-05,3.663003663e-05,0.0891688963515,3.663003663e-05,3.663003663e-05,3.663003663e-05,3.663003663e-05,3.663003663e-05,3.663003663e-05,3.663003663e-05,3.663003663e-05,3.663003663e-05,3.663003663e-05,0.0656352557587,3.663003663e-05,3.663003663e-05,0.0243569680528,3.663003663e-05,3.663003663e-05,3.663003663e-05,3.663003663e-05,3.663003663e-05,3.663003663e-05,3.663003663e-05,3.663003663e-05,3.663003663e-05,3.663003663e-05,3.663003663e-05,3.663003663e-05,3.663003663e-05,3.663003663e-05,3.663003663e-05,3.663003663e-05,3.663003663e-05
2014-06-29,3.55239786856e-05,3.55239786856e-05,3.55239786856e-05,3.55239786856e-05,3.55239786856e-05,3.55239786856e-05,3.55239786856e-05,3.55239786856e-05,3.55239786856e-05,0.867028789251,3.55239786856e-05,3.55239786856e-05,3.55239786856e-05,3.55239786856e-05,3.55239786856e-05,0.0417123194564,0.0247518067544,3.55239786856e-05,3.55239786856e-05,3.55239786856e-05,3.55239786856e-05,3.55239786856e-05,3.55239786856e-05,3.55239786856e-05,3.55239786856e-05,3.55239786856e-05,3.55239786856e-05,3.55239786856e-05,3.55239786856e-05,3.55239786856e-05,3.55239786856e-05,3.55239786856e-05,0.0648729815188,3.55239786856e-05,3.55239786856e-05,3.55239786856e-05,3.55239786856e-05,3.55239786856e-05,3.55239786856e-05,3.55239786856e-05,3.55239786856e-05,3.55239786856e-05,3.55239786856e-05,3.55239786856e-05,3.55239786856e-05,3.55239786856e-05,3.55239786856e-05,3.55239786856e-05,3.55239786856e-05,3.55239786856e-05
2014-06-30,2.65957446809e-05,2.65957446809e-05,2.65957446809e-05,2.65957446809e-05,2.65957446809e-05,2.65957446809e-05,2.65957446809e-05,2.65957446809e-05,2.65957446809e-05,0.709846296932,2.65957446809e-05,2.65957446809e-05,2.65957446809e-05,2.65957446809e-05,2.65957446809e-05,2.65957446809e-05,2.65957446809e-05,2.65957446809e-05,2.65957446809e-05,2.65957446809e-05,2.65957446809e-05,2.65957446809e-05,2.65957446809e-05,2.65957446809e-05,2.65957446809e-05,2.65957446809e-05,2.65957446809e-05,2.65957446809e-05,2.65957446809e-05,0.215988135202,2.65957446809e-05,2.65957446809e-05,0.0729155678658,2.65957446809e-05,2.65957446809e-05,2.65957446809e-05,2.65957446809e-05,2.65957446809e-05,2.65957446809e-05,2.65957446809e-05,2.65957446809e-05,2.65957446809e-05,2.65957446809e-05,2.65957446809e-05,2.65957446809e-05,2.65957446809e-05,2.65957446809e-05,2.65957446809e-05,2.65957446809e-05,2.65957446809e-05
2014-07-01,3.01659125189e-05,3.01659125189e-05,3.01659125189e-05,3.01659125189e-05,3.01659125189e-05,3.01659125189e-05,3.01659125189e-05,3.01659125189e-05,3.01659125189e-05,0.834517851582,3.01659125189e-05,3.01659125189e-05,3.01659125189e-05,3.01659125189e-05,3.01659125189e-05,3.01659125189e-05,3.01659125189e-05,3.01659125189e-05,3.01659125189e-05,3.01659125189e-05,3.01659125189e-05,3.01659125189e-05,3.01659125189e-05,3.01659125189e-05,3.01659125189e-05,3.01659125189e-05,3.01659125189e-05,3.01659125189e-05,3.01659125189e-05,3.01659125189e-05,3.01659125189e-05,3.01659125189e-05,0.164034184617,3.01659125189e-05,3.01659125189e-05,3.01659125189e-05,3.01659125189e-05,3.01659125189e-05,3.01659125189e-05,3.01659125189e-05,3.01659125189e-05,3.01659125189e-05,3.01659125189e-05,3.01659125189e-05,3.01659125189e-05,3.01659125189e-05,3.01659125189e-05,3.01659125189e-05,3.01659125189e-05,3.01659125189e-05
2014-07-02,2.96735905045e-05,2.96735905045e-05,2.96735905045e-05,2.96735905045e-05,2.96735905045e-05,2.96735905045e-05,2.96735905045e-05,2.96735905045e-05,2.96735905045e-05,0.936485352456,2.96735905045e-05,2.96735905045e-05,2.96735905045e-05,2.96735905045e-05,2.96735905045e-05,2.96735905045e-05,2.96735905045e-05,2.96735905045e-05,2.96735905045e-05,2.96735905045e-05,2.96735905045e-05,2.96735905045e-05,2.96735905045e-05,2.96735905045e-05,2.96735905045e-05,2.96735905045e-05,2.96735905045e-05,2.96735905045e-05,2.96735905045e-05,2.96735905045e-05,2.96735905045e-05,2.96735905045e-05,0.0620903152002,2.96735905045e-05,2.96735905045e-05,2.96735905045e-05,2.96735905045e-05,2.96735905045e-05,2.96735905045e-05,2.96735905045e-05,2.96735905045e-05,2.96735905045e-05,2.96735905045e-05,2.96735905045e-05,2.96735905045e-05,2.96735905045e-05,2.96735905045e-05,2.96735905045e-05,2.96735905045e-05,2.96735905045e-05
2014-07-03,2.65957446809e-05,2.65957446809e-05,2.65957446809e-05,2.65957446809e-05,2.65957446809e-05,2.65957446809e-05,2.65957446809e-05,2.65957446809e-05,2.65957446809e-05,0.794588516093,2.65957446809e-05,2.65957446809e-05,2.65957446809e-05,2.65957446809e-05,2.65957446809e-05,2.65957446809e-05,2.65957446809e-05,2.65957446809e-05,2.65957446809e-05,2.65957446809e-05,2.65957446809e-05,2.65957446809e-05,2.65957446809e-05,2.65957446809e-05,2.65957446809e-05,2.65957446809e-05,2.65957446809e-05,2.65957446809e-05,2.65957446809e-05,0.120179378439,2.65957446809e-05,2.65957446809e-05,0.0839821054679,2.65957446809e-05,2.65957446809e-05,2.65957446809e-05,2.65957446809e-05,2.65957446809e-05,2.65957446809e-05,2.65957446809e-05,2.65957446809e-05,2.65957446809e-05,2.65957446809e-05,2.65957446809e-05,2.65957446809e-05,2.65957446809e-05,2.65957446809e-05,2.65957446809e-05,2.65957446809e-05,2.65957446809e-05
2014-07-04,4.49438202247e-05,4.49438202247e-05,4.49438202247e-05,4.49438202247e-05,4.49438202247e-05,4.49438202247e-05,4.49438202247e-05,4.49438202247e-05,4.49438202247e-05,0.233073397273,4.49438202247e-05,4.49438202247e-05,4.49438202247e-05,4.49438202247e-05,4.49438202247e-05,0.065116660234,0.130039407437,4.49438202247e-05,0.130691194748,4.49438202247e-05,4.49438202247e-05,4.49438202247e-05,4.49438202247e-05,4.49438202247e-05,4.49438202247e-05,4.49438202247e-05,4.49438202247e-05,4.49438202247e-05,4.49438202247e-05,0.421699633808,4.49438202247e-05,0.0174021784095,4.49438202247e-05,4.49438202247e-05,4.49438202247e-05,4.49438202247e-05,4.49438202247e-05,4.49438202247e-05,4.49438202247e-05,4.49438202247e-05,4.49438202247e-05,4.49438202247e-05,4.49438202247e-05,4.49438202247e-05,4.49438202247e-05,4.49438202247e-05,4.49438202247e-05,4.49438202247e-05,4.49438202247e-05,4.49438202247e-05
2014-07-05,2.28050171038e-05,2.28050171038e-05,2.28050171038e-05,2.28050171038e-05,2.28050171038e-05,2.28050171038e-05,2.28050171038e-05,2.28050171038e-05,2.28050171038e-05,0.197015509525,2.28050171038e-05,2.28050171038e-05,2.28050171038e-05,2.28050171038e-05,2.28050171038e-05,2.28050171038e-05,2.28050171038e-05,2.28050171038e-05,2.28050171038e-05,2.28050171038e-05,2.28050171038e-05,2.28050171038e-05,2.28050171038e-05,2.28050171038e-05,0.34014368173,2.28050171038e-05,2.28050171038e-05,2.28050171038e-05,2.28050171038e-05,0.280082634028,2.28050171038e-05,2.28050171038e-05,0.18170914393,2.28050171038e-05,2.28050171038e-05,2.28050171038e-05,2.28050171038e-05,2.28050171038e-05,2.28050171038e-05,2.28050171038e-05,2.28050171038e-05,2.28050171038e-05,2.28050171038e-05,2.28050171038e-05,2.28050171038e-05,2.28050171038e-05,2.28050171038e-05,2.28050171038e-05,2.28050171038e-05,2.28050171038e-05
2014-07-06,1.5455950541e-05,1.5455950541e-05,1.5455950541e-05,1.5455950541e-05,1.5455950541e-05,1.5455950541e-05,1.5455950541e-05,1.5455950541e-05,1.5455950541e-05,0.0623277825998,1.5455950541e-05,1.5455950541e-05,1.5455950541e-05,1.5455950541e-05,1.5455950541e-05,0.0412573612526,0.0764830735002,1.5455950541e-05,1.5455950541e-05,1.5455950541e-05,1.5455950541e-05,1.5455950541e-05,1.5455950541e-05,1.5455950541e-05,1.5455950541e-05,1.5455950541e-05,1.5455950541e-05,1.5455950541e-05,1.5455950541e-05,0.753557616018,1.5455950541e-05,1.5455950541e-05,0.0656786488546,1.5455950541e-05,1.5455950541e-05,1.5455950541e-05,1.5455950541e-05,1.5455950541e-05,1.5455950541e-05,1.5455950541e-05,1.5455950541e-05,1.5455950541e-05,1.5455950541e-05,1.5455950541e-05,1.5455950541e-05,1.5455950541e-05,1.5455950541e-05,1.5455950541e-05,1.5455950541e-05,1.5455950541e-05
2014-07-07,1.39082058414e-05,1.39082058414e-05,1.39082058414e-05,1.39082058414e-05,1.39082058414e-05,1.39082058414e-05,1.39082058414e-05,1.39082058414e-05,1.39082058414e-05,0.281085100078,1.39082058414e-05,1.39082058414e-05,1.39082058414e-05,1.39082058414e-05,1.39082058414e-05,1.39082058414e-05,0.0207538642346,1.39082058414e-05,0.06259119241,1.39082058414e-05,1.39082058414e-05,1.39082058414e-05,1.39082058414e-05,0.00178431268303,1.39082058414e-05,1.39082058414e-05,1.39082058414e-05,1.39082058414e-05,1.39082058414e-05,0.540398350471,1.39082058414e-05,1.39082058414e-05,0.0927752190667,1.39082058414e-05,1.39082058414e-05,1.39082058414e-05,1.39082058414e-05,1.39082058414e-05,1.39082058414e-05,1.39082058414e-05,1.39082058414e-05,1.39082058414e-05,1.39082058414e-05,1.39082058414e-05,1.39082058414e-05,1.39082058414e-05,1.39082058414e-05,1.39082058414e-05,1.39082058414e-05,1.39082058414e-05
2014-07-08,2.75103163686e-05,2.75103163686e-05,2.75103163686e-05,2.75103163686e-05,2.75103163686e-05,2.75103163686e-05,2.75103163686e-05,2.75103163686e-05,0.0113711980518,0.260706010382,2.75103163686e-05,2.75103163686e-05,2.75103163686e-05,2.75103163686e-05,2.75103163686e-05,2.75103163686e-05,2.75103163686e-05,2.75103163686e-05,0.296827028287,2.75103163686e-05,2.75103163686e-05,2.75103163686e-05,2.75103163686e-05,2.75103163686e-05,2.75103163686e-05,2.75103163686e-05,2.75103163686e-05,2.75103163686e-05,2.75103163686e-05,0.418572017521,2.75103163686e-05,0.0112857815208,2.75103163686e-05,2.75103163686e-05,2.75103163686e-05,2.75103163686e-05,2.75103163686e-05,2.75103163686e-05,2.75103163686e-05,2.75103163686e-05,2.75103163686e-05,2.75103163686e-05,2.75103163686e-05,2.75103163686e-05,2.75103163686e-05,2.75103163686e-05,2.75103163686e-05,2.75103163686e-05,2.75103163686e-05,2.75103163686e-05
2014-07-09,2.96735905045e-05,2.96735905045e-05,2.96735905045e-05,2.96735905045e-05,2.96735905045e-05,2.96735905045e-05,2.96735905045e-05,2.96735905045e-05,2.96735905045e-05,0.361901385449,2.96735905045e-05,2.96735905045e-05,2.96735905045e-05,2.96735905045e-05,2.96735905045e-05,2.96735905045e-05,0.0449878589305,2.96735905045e-05,0.152203574028,2.96735905045e-05,2.96735905045e-05,2.96735905045e-05,2.96735905045e-05,2.96735905045e-05,2.96735905045e-05,2.96735905045e-05,2.96735905045e-05,2.96735905045e-05,2.96735905045e-05,0.421969294486,2.96735905045e-05,2.96735905045e-05,0.0176025755343,2.96735905045e-05,2.96735905045e-05,2.96735905045e-05,2.96735905045e-05,2.96735905045e-05,2.96735905045e-05,2.96735905045e-05,2.96735905045e-05,2.96735905045e-05,2.96735905045e-05,2.96735905045e-05,2.96735905045e-05,2.96735905045e-05,2.96735905045e-05,2.96735905045e-05,2.96735905045e-05,2.96735905045e-05
2014-07-10,2.74348422497e-05,2.74348422497e-05,2.74348422497e-05,2.74348422497e-05,2.74348422497e-05,2.74348422497e-05,2.74348422497e-05,2.74348422497e-05,2.74348422497e-05,0.459903326785,2.74348422497e-05,2.74348422497e-05,2.74348422497e-05,2.74348422497e-05,2.74348422497e-05,2.74348422497e-05,0.00704029584004,2.74348422497e-05,0.0754777146581,2.74348422497e-05,2.74348422497e-05,2.74348422497e-05,2.74348422497e-05,2.74348422497e-05,2.74348422497e-05,2.74348422497e-05,2.74348422497e-05,2.74348422497e-05,2.74348422497e-05,0.389907069811,2.74348422497e-05,2.74348422497e-05,0.066437025005,2.74348422497e-05,2.74348422497e-05,2.74348422497e-05,2.74348422497e-05,2.74348422497e-05,2.74348422497e-05,2.74348422497e-05,2.74348422497e-05,2.74348422497e-05,2.74348422497e-05,2.74348422497e-05,2.74348422497e-05,2.74348422497e-05,2.74348422497e-05,2.74348422497e-05,2.74348422497e-05,2.74348422497e-05
2014-07-11,1.89933523267e-05,1.89933523267e-05,1.89933523267e-05,1.89933523267e-05,1.89933523267e-05,1.89933523267e-05,1.89933523267e-05,1.89933523267e-05,1.89933523267e-05,0.411965216918,1.89933523267e-05,1.89933523267e-05,1.89933523267e-05,1.89933523267e-05,1.89933523267e-05,1.89933523267e-05,0.403062116615,1.89933523267e-05,0.0923901836625,1.89933523267e-05,1.89933523267e-05,1.89933523267e-05,1.89933523267e-05,1.89933523267e-05,1.89933523267e-05,1.89933523267e-05,1.89933523267e-05,1.89933523267e-05,1.89933523267e-05,0.0279438916447,1.89933523267e-05,1.89933523267e-05,0.0637838903051,1.89933523267e-05,1.89933523267e-05,1.89933523267e-05,1.89933523267e-05,1.89933523267e-05,1.89933523267e-05,1.89933523267e-05,1.89933523267e-05,1.89933523267e-05,1.89933523267e-05,1.89933523267e-05,1.89933523267e-05,1.89933523267e-05,1.89933523267e-05,1.89933523267e-05,1.89933523267e-05,1.89933523267e-05
2014-07-12,2.67737617135e-05,2.67737617135e-05,2.67737617135e-05,2.67737617135e-05,2.67737617135e-05,2.67737617135e-05,2.67737617135e-05,2.67737617135e-05,2.67737617135e-05,0.326851622605,2.67737617135e-05,2.67737617135e-05,2.67737617135e-05,2.67737617135e-05,2.67737617135e-05,2.67737617135e-05,0.603642634876,2.67737617135e-05,2.67737617135e-05,2.67737617135e-05,2.67737617135e-05,2.67737617135e-05,2.67737617135e-05,2.67737617135e-05,2.67737617135e-05,2.67737617135e-05,2.67737617135e-05,2.67737617135e-05,2.67737617135e-05,0.0392854740364,2.67737617135e-05,2.67737617135e-05,0.0289886754438,2.67737617135e-05,2.67737617135e-05,2.67737617135e-05,2.67737617135e-05,2.67737617135e-05,2.67737617135e-05,2.67737617135e-05,2.67737617135e-05,2.67737617135e-05,2.67737617135e-05,2.67737617135e-05,2.67737617135e-05,2.67737617135e-05,2.67737617135e-05,2.67737617135e-05,2.67737617135e-05,2.67737617135e-05
