"id","original_date","ampm","home_team_name","away_team_name","game_type","away_win","away_loss","away_team_runs","away_team_hits","away_team_errors","away_team_hr","away_team_sb","away_team_so","home_win","home_loss","home_team_runs","home_team_hits","home_team_errors","home_team_hr","home_team_sb","home_team_so"
"2014/04/05/balmlb-detmlb-1","2014/04/05","PM","Tigers","Orioles","R",1,4,6,10,0,"0","1","5",4,0,7,13,1,"1","2","5"
"2015/05/09/balmlb-nyamlb-1","2015/05/09","PM","Yankees","Orioles","R",13,15,6,9,2,"3","0","10",19,12,2,8,0,"0","0","9"
"2015/09/08/balmlb-nyamlb-1","2015/09/08","PM","Yankees","Orioles","R",66,72,2,9,1,"2","0","7",77,60,1,6,0,"1","0","11"
"2014/09/16/tormlb-balmlb-1","2014/09/16","PM","Orioles","Blue Jays","R",77,73,2,4,1,"0","1","12",91,60,8,8,1,"2","0","10"
"2015/09/20/balmlb-tbamlb-1","2015/09/20","PM","Rays","Orioles","R",73,76,6,9,0,"1","0","12",72,77,7,14,2,"2","1","5"
"2014/09/08/balmlb-bosmlb-1","2014/09/08","PM","Red Sox","Orioles","R",84,59,4,7,1,"0","1","9",63,81,0,7,3,"0","0","8"
"2014/09/02/cinmlb-balmlb-1","2014/09/02","PM","Orioles","Reds","R",66,72,4,7,0,"1","1","4",80,57,5,10,2,"1","0","10"
"2015/08/24/balmlb-kcamlb-1","2015/08/24","PM","Royals","Orioles","R",62,62,3,5,1,"1","0","5",76,48,8,13,0,"1","0","8"
"2016/07/15/balmlb-tbamlb-1","2016/07/15","PM","Rays","Orioles","R",52,36,4,7,0,"2","0","7",34,55,3,9,0,"0","0","6"
"2014/03/29/balmlb-noraaa-1","2014/03/29","PM","Tides","Orioles","E",1,0,4,8,0,"1","0","2",0,1,3,7,0,"0","1","5"
"2014/08/02/seamlb-balmlb-1","2014/08/02","PM","Orioles","Mariners","R",57,53,6,11,2,"2","0","9",61,48,3,8,0,"1","0","2"
"2016/08/09/balmlb-oakmlb-1","2016/08/09","PM","Athletics","Orioles","R",63,49,1,3,0,"1","0","4",50,63,2,6,0,"0","0","6"
"2016/07/19/balmlb-nyamlb-1","2016/07/19","PM","Yankees","Orioles","R",53,39,1,4,1,"0","0","5",47,46,7,7,0,"2","2","6"
"2014/08/12/nyamlb-balmlb-1","2014/08/12","PM","Orioles","Yankees","R",61,57,NA,NA,NA,NA,NA,NA,68,50,NA,NA,NA,NA,NA,NA
"2016/06/01/bosmlb-balmlb-1","2016/06/01","PM","Orioles","Red Sox","R",32,21,9,15,1,"5","0","4",29,22,13,14,1,"0","0","6"
"2014/05/02/balmlb-minmlb-1","2014/05/02","PM","Twins","Orioles","R",15,12,3,9,1,"1","0","13",12,15,0,4,0,"0","3","6"
"2014/08/18/balmlb-chamlb-1","2014/08/18","PM","White Sox","Orioles","R",71,52,8,12,0,"3","0","7",59,66,2,3,0,"0","0","11"
"2015/09/26/balmlb-bosmlb-1","2015/09/26","PM","Red Sox","Orioles","R",76,78,0,5,3,"0","0","10",74,80,8,8,0,"0","0","4"
"2015/10/03/nyamlb-balmlb-2","2015/10/03","PM","Orioles","Yankees","R",87,74,3,6,1,"0","1","9",80,81,4,7,0,"2","1","8"
"2016/09/25/arimlb-balmlb-1","2016/09/25","PM","Orioles","D-backs","R",64,91,1,4,1,"0","2","10",85,71,2,5,1,"1","0","11"
"2016/03/30/detmlb-balmlb-1","2016/03/30","PM","Orioles","Tigers","S",16,11,2,6,0,"1","0","11",10,15,1,4,1,"0","0","4"
"2014/05/06/balmlb-tbamlb-1","2014/05/06","PM","Rays","Orioles","R",16,14,5,11,1,"1","0","4",15,18,3,6,1,"1","0","9"
"2014/03/17/balmlb-phimlb-1","2014/03/17","PM","Phillies","Orioles","S",10,6,NA,NA,NA,NA,NA,NA,5,12,NA,NA,NA,NA,NA,NA
"2016/07/21/balmlb-nyamlb-1","2016/07/21","PM","Yankees","Orioles","R",54,40,4,9,0,"0","0","8",48,47,1,5,1,"0","0","3"
"2014/08/04/balmlb-wasmlb-1","2014/08/04","PM","Nationals","Orioles","R",63,48,7,14,0,"2","0","6",60,50,3,8,1,"1","0","5"
"2015/06/25/balmlb-bosmlb-1","2015/06/25","PM","Red Sox","Orioles","R",38,34,8,14,0,"1","1","7",32,42,6,12,2,"1","0","9"
"2015/09/30/tormlb-balmlb-1","2015/09/30","PM","Orioles","Blue Jays","R",92,65,15,18,0,"3","1","10",76,81,2,7,4,"1","1","5"
"2016/07/23/clemlb-balmlb-1","2016/07/23","PM","Orioles","Indians","R",56,40,2,7,0,"0","0","0",56,40,5,10,0,"0","0","0"
"2015/06/02/balmlb-houmlb-1","2015/06/02","PM","Astros","Orioles","R",23,28,4,7,0,"0","0","9",33,20,6,9,0,"2","0","9"
"2015/03/06/balmlb-tormlb-1","2015/03/06","PM","Blue Jays","Orioles","S",2,3,4,6,1,"1","0","9",2,2,5,9,0,"1","0","4"
"2016/08/28/balmlb-nyamlb-1","2016/08/28","PM","Yankees","Orioles","R",71,59,5,10,0,"2","0","10",67,62,0,8,0,"0","1","9"
"2014/04/06/balmlb-detmlb-1","2014/04/06","PM","Tigers","Orioles","R",2,4,3,8,0,"1","0","6",4,1,1,5,0,"1","0","5"
"2014/06/21/balmlb-nyamlb-1","2014/06/21","PM","Yankees","Orioles","R",38,35,6,9,0,"4","0","6",39,34,1,7,1,"1","0","8"
"2014/05/18/balmlb-kcamlb-1","2014/05/18","PM","Royals","Orioles","R",22,20,6,12,0,"1","0","8",22,21,8,11,0,"2","1","3"
"2014/04/16/tbamlb-balmlb-1","2014/04/16","PM","Orioles","Rays","R",7,8,0,6,1,"0","0","7",7,7,3,6,0,"0","2","9"
"2014/06/27/tbamlb-balmlb-1","2014/06/27","PM","Orioles","Rays","R",33,48,5,9,1,"0","0","9",41,37,2,3,0,"1","0","7"
"2015/03/27/tbamlb-balmlb-1","2015/03/27","PM","Orioles","Rays","S",11,9,NA,NA,NA,NA,NA,NA,9,15,NA,NA,NA,NA,NA,NA
"2014/08/20/balmlb-chamlb-1","2014/08/20","PM","White Sox","Orioles","R",73,52,4,8,0,"3","0","10",59,68,3,6,0,"1","0","9"
"2016/07/31/balmlb-tormlb-1","2016/07/31","PM","Blue Jays","Orioles","R",59,45,6,8,0,"1","0","11",59,46,2,6,0,"1","0","11"
"2015/06/17/balmlb-phimlb-1","2015/06/17","PM","Phillies","Orioles","R",34,31,6,8,1,"2","0","9",22,45,4,9,1,"1","2","9"
"2014/05/16/balmlb-kcamlb-1","2014/05/16","PM","Royals","Orioles","R",22,18,4,8,0,"1","0","3",20,21,0,5,1,"0","0","2"
"2016/09/06/balmlb-tbamlb-1","2016/09/06","PM","Rays","Orioles","R",76,62,11,14,1,"3","0","7",58,79,2,8,1,"1","1","7"
"2014/07/09/wasmlb-balmlb-1","2014/07/09","PM","Orioles","Nationals","R",49,40,6,7,0,"3","1","4",49,41,2,7,0,"1","0","5"
"2016/08/19/houmlb-balmlb-1","2016/08/19","PM","Orioles","Astros","R",62,60,15,18,1,"4","1","8",67,54,8,10,0,"5","0","12"
"2015/03/10/nyamlb-balmlb-1","2015/03/10","PM","Orioles","Yankees","S",5,3,1,6,0,"1","1","8",3,6,3,9,0,"1","1","9"
"2014/07/13/nyamlb-balmlb-1","2014/07/13","PM","Orioles","Yankees","R",47,47,1,4,0,"1","0","4",52,42,3,5,0,"1","0","2"
"2014/03/16/balmlb-tormlb-1","2014/03/16","PM","Blue Jays","Orioles","S",10,6,3,10,0,"1","0","4",7,10,4,15,1,"0","0","7"
"2015/09/04/balmlb-tormlb-1","2015/09/04","PM","Blue Jays","Orioles","R",65,69,10,13,2,"4","0","8",76,58,2,8,1,"0","1","5"
"2016/06/08/kcamlb-balmlb-1","2016/06/08","PM","Orioles","Royals","R",30,29,0,9,0,"0","0","8",35,23,4,4,0,"0","1","12"
"2014/05/08/balmlb-tbamlb-1","2014/05/08","PM","Rays","Orioles","R",18,14,3,9,0,"1","0","4",15,20,1,9,0,"0","2","9"
"2016/03/07/minmlb-balmlb-1","2016/03/07","PM","Orioles","Twins","S",4,1,3,7,0,"0","1","5",0,7,0,6,0,"0","0","8"
"2014/10/13/balmlb-kcamlb-1","2014/10/13","PM","Royals","Orioles","L",0,2,NA,NA,NA,NA,NA,NA,2,0,NA,NA,NA,NA,NA,NA
"2016/06/24/tbamlb-balmlb-1","2016/06/24","PM","Orioles","Rays","R",31,40,3,9,1,"1","0","7",42,30,6,8,0,"2","0","6"
"2015/06/27/clemlb-balmlb-1","2015/06/27","PM","Orioles","Indians","R",33,39,NA,NA,NA,NA,NA,NA,39,34,NA,NA,NA,NA,NA,NA
"2014/06/04/balmlb-texmlb-1","2014/06/04","PM","Rangers","Orioles","R",30,27,6,13,1,"2","0","9",29,30,5,11,2,"2","0","4"
"2015/04/11/tormlb-balmlb-1","2015/04/11","PM","Orioles","Blue Jays","R",3,2,1,3,1,"0","1","8",3,2,7,9,0,"3","0","10"
"2014/04/23/balmlb-tormlb-1","2014/04/23","PM","Blue Jays","Orioles","R",10,10,10,12,0,"4","0","12",11,10,8,16,0,"3","0","8"
"2016/09/07/balmlb-tbamlb-1","2016/09/07","PM","Rays","Orioles","R",76,63,6,10,0,"1","0","15",59,79,7,13,1,"2","0","7"
"2015/03/13/balmlb-tormlb-1","2015/03/13","PM","Blue Jays","Orioles","S",3,9,3,10,1,"0","0","4",5,7,5,10,2,"0","2","5"
"2014/04/12/tormlb-balmlb-1","2014/04/12","PM","Orioles","Blue Jays","R",6,6,1,7,0,"1","1","8",5,6,2,9,0,"0","1","7"
"2016/08/31/tormlb-balmlb-1","2016/08/31","PM","Orioles","Blue Jays","R",76,57,5,9,1,"3","0","4",72,61,3,8,0,"1","0","8"
"2016/07/22/clemlb-balmlb-1","2016/07/22","PM","Orioles","Indians","R",56,39,1,8,0,"0","0","6",55,40,5,10,0,"2","0","9"
"2014/03/31/bosmlb-balmlb-1","2014/03/31","PM","Orioles","Red Sox","R",0,1,1,9,0,"1","0","9",1,0,2,6,0,"1","0","6"
"2015/08/29/balmlb-texmlb-1","2015/08/29","PM","Rangers","Orioles","R",63,66,3,9,0,"1","0","4",67,61,4,12,0,"1","0","7"
"2016/05/03/nyamlb-balmlb-1","2016/05/03","PM","Orioles","Yankees","R",8,16,1,7,2,"0","0","6",15,10,4,5,0,"2","0","9"
"2014/07/25/balmlb-seamlb-1","2014/07/25","PM","Mariners","Orioles","R",57,45,2,6,0,"2","0","9",53,50,1,8,0,"0","1","12"
"2014/09/01/minmlb-balmlb-1","2014/09/01","PM","Orioles","Twins","R",60,77,6,7,1,"0","0","5",79,57,4,6,1,"2","0","7"
"2015/07/12/wasmlb-balmlb-1","2015/07/12","PM","Orioles","Nationals","R",48,39,3,8,0,"0","0","8",44,44,2,4,1,"2","0","9"
"2014/05/04/balmlb-minmlb-1","2014/05/04","PM","Twins","Orioles","R",15,14,2,8,0,"1","0","9",14,15,5,10,1,"0","2","5"
"2014/04/15/tbamlb-balmlb-1","2014/04/15","PM","Orioles","Rays","R",7,7,NA,NA,NA,NA,NA,NA,6,7,NA,NA,NA,NA,NA,NA
