0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
2.62E-05,0.004636744,2.62E-05,2.62E-05,2.62E-05,2.62E-05,2.62E-05,2.62E-05,0.018642794,2.62E-05,2.62E-05,2.62E-05,2.62E-05,2.62E-05,2.62E-05,2.62E-05,0.3687066,2.62E-05,2.62E-05,2.62E-05,2.62E-05,2.62E-05,2.62E-05,2.62E-05,0.36749259,2.62E-05,2.62E-05,2.62E-05,2.62E-05,0.217153567,2.62E-05,2.62E-05,0.02221285,2.62E-05,2.62E-05,2.62E-05,2.62E-05,2.62E-05,2.62E-05,2.62E-05,2.62E-05,2.62E-05,2.62E-05,2.62E-05,2.62E-05,2.62E-05,2.62E-05,2.62E-05,2.62E-05,2.62E-05
2.44E-05,2.44E-05,2.44E-05,2.44E-05,2.44E-05,2.44E-05,2.44E-05,2.44E-05,2.44E-05,0.235182309,2.44E-05,2.44E-05,2.44E-05,2.44E-05,2.44E-05,2.44E-05,0.642002985,2.44E-05,2.44E-05,2.44E-05,2.44E-05,2.44E-05,2.44E-05,2.44E-05,0.033521307,0.072972196,2.44E-05,2.44E-05,2.44E-05,2.44E-05,2.44E-05,2.44E-05,0.015223642,2.44E-05,2.44E-05,2.44E-05,2.44E-05,2.44E-05,2.44E-05,2.44E-05,2.44E-05,2.44E-05,2.44E-05,2.44E-05,2.44E-05,2.44E-05,2.44E-05,2.44E-05,2.44E-05,2.44E-05
3.61E-05,3.61E-05,3.61E-05,3.61E-05,3.61E-05,3.61E-05,3.61E-05,3.61E-05,3.61E-05,0.259015397,3.61E-05,3.61E-05,3.61E-05,3.61E-05,3.61E-05,3.61E-05,0.739251751,3.61E-05,3.61E-05,3.61E-05,3.61E-05,3.61E-05,3.61E-05,3.61E-05,3.61E-05,3.61E-05,3.61E-05,3.61E-05,3.61E-05,3.61E-05,3.61E-05,3.61E-05,3.61E-05,3.61E-05,3.61E-05,3.61E-05,3.61E-05,3.61E-05,3.61E-05,3.61E-05,3.61E-05,3.61E-05,3.61E-05,3.61E-05,3.61E-05,3.61E-05,3.61E-05,3.61E-05,3.61E-05,3.61E-05
2.85E-05,2.85E-05,2.85E-05,2.85E-05,2.85E-05,2.85E-05,2.85E-05,2.85E-05,2.85E-05,0.186004507,2.85E-05,2.85E-05,2.85E-05,2.85E-05,2.85E-05,2.85E-05,0.710848242,2.85E-05,2.85E-05,2.85E-05,2.85E-05,2.85E-05,2.85E-05,2.85E-05,2.85E-05,0.10180822,2.85E-05,2.85E-05,2.85E-05,2.85E-05,2.85E-05,2.85E-05,2.85E-05,2.85E-05,2.85E-05,2.85E-05,2.85E-05,2.85E-05,2.85E-05,2.85E-05,2.85E-05,2.85E-05,2.85E-05,2.85E-05,2.85E-05,2.85E-05,2.85E-05,2.85E-05,2.85E-05,2.85E-05
2.03E-05,2.03E-05,2.03E-05,2.03E-05,2.03E-05,2.03E-05,2.03E-05,2.03E-05,2.03E-05,0.156879904,2.03E-05,2.03E-05,2.03E-05,2.03E-05,2.03E-05,2.03E-05,0.698478705,2.03E-05,2.03E-05,2.03E-05,2.03E-05,2.03E-05,2.03E-05,2.03E-05,2.03E-05,0.124510825,2.03E-05,2.03E-05,2.03E-05,2.03E-05,2.03E-05,2.03E-05,0.019195606,2.03E-05,2.03E-05,2.03E-05,2.03E-05,2.03E-05,2.03E-05,2.03E-05,2.03E-05,2.03E-05,2.03E-05,2.03E-05,2.03E-05,2.03E-05,2.03E-05,2.03E-05,2.03E-05,2.03E-05
1.62E-05,1.62E-05,1.62E-05,1.62E-05,1.62E-05,1.62E-05,1.62E-05,1.62E-05,1.62E-05,0.399489749,1.62E-05,1.62E-05,1.62E-05,1.62E-05,1.62E-05,1.62E-05,0.599730398,1.62E-05,1.62E-05,1.62E-05,1.62E-05,1.62E-05,1.62E-05,1.62E-05,1.62E-05,1.62E-05,1.62E-05,1.62E-05,1.62E-05,1.62E-05,1.62E-05,1.62E-05,1.62E-05,1.62E-05,1.62E-05,1.62E-05,1.62E-05,1.62E-05,1.62E-05,1.62E-05,1.62E-05,1.62E-05,1.62E-05,1.62E-05,1.62E-05,1.62E-05,1.62E-05,1.62E-05,1.62E-05,1.62E-05
1.93E-05,1.93E-05,1.93E-05,1.93E-05,1.93E-05,1.93E-05,1.93E-05,1.93E-05,1.93E-05,0.193478084,1.93E-05,1.93E-05,1.93E-05,1.93E-05,1.93E-05,1.93E-05,0.785187718,1.93E-05,1.93E-05,1.93E-05,1.93E-05,1.93E-05,1.93E-05,1.93E-05,1.93E-05,0.020425985,1.93E-05,1.93E-05,1.93E-05,1.93E-05,1.93E-05,1.93E-05,1.93E-05,1.93E-05,1.93E-05,1.93E-05,1.93E-05,1.93E-05,1.93E-05,1.93E-05,1.93E-05,1.93E-05,1.93E-05,1.93E-05,1.93E-05,1.93E-05,1.93E-05,1.93E-05,1.93E-05,1.93E-05
3.61E-05,3.61E-05,3.61E-05,3.61E-05,3.61E-05,3.61E-05,3.61E-05,3.61E-05,0.003817369,0.366901554,3.61E-05,3.61E-05,3.61E-05,3.61E-05,3.61E-05,0.102640403,0.395752347,3.61E-05,0.013812724,3.61E-05,3.61E-05,3.61E-05,3.61E-05,3.61E-05,3.61E-05,0.052719741,3.61E-05,3.61E-05,3.61E-05,0.053221847,3.61E-05,3.61E-05,0.009618641,3.61E-05,3.61E-05,3.61E-05,3.61E-05,3.61E-05,3.61E-05,3.61E-05,3.61E-05,3.61E-05,3.61E-05,3.61E-05,3.61E-05,3.61E-05,3.61E-05,3.61E-05,3.61E-05,3.61E-05
2.58E-05,2.58E-05,2.58E-05,2.58E-05,2.58E-05,2.58E-05,2.58E-05,2.58E-05,2.58E-05,0.396852353,2.58E-05,2.58E-05,2.58E-05,2.58E-05,2.58E-05,0.206340606,0.00608816,2.58E-05,2.58E-05,2.58E-05,2.58E-05,2.58E-05,2.58E-05,2.58E-05,2.58E-05,2.58E-05,2.58E-05,2.58E-05,2.58E-05,0.35493389,2.58E-05,2.58E-05,0.034625198,2.58E-05,2.58E-05,2.58E-05,2.58E-05,2.58E-05,2.58E-05,2.58E-05,2.58E-05,2.58E-05,2.58E-05,2.58E-05,2.58E-05,2.58E-05,2.58E-05,2.58E-05,2.58E-05,2.58E-05
2.55E-05,2.55E-05,2.55E-05,2.55E-05,2.55E-05,2.55E-05,2.55E-05,2.55E-05,2.55E-05,0.623083745,2.55E-05,2.55E-05,2.55E-05,2.55E-05,2.55E-05,0.261911803,2.55E-05,2.55E-05,0.113803941,2.55E-05,2.55E-05,2.55E-05,2.55E-05,2.55E-05,2.55E-05,2.55E-05,2.55E-05,2.55E-05,2.55E-05,2.55E-05,2.55E-05,2.55E-05,2.55E-05,2.55E-05,2.55E-05,2.55E-05,2.55E-05,2.55E-05,2.55E-05,2.55E-05,2.55E-05,2.55E-05,2.55E-05,2.55E-05,2.55E-05,2.55E-05,2.55E-05,2.55E-05,2.55E-05,2.55E-05
