"original_date","home_team_name","away_team_name","away_win","away_loss","away_team_hits","away_team_errors","away_team_hr","away_team_sb","away_team_so","home_win","home_loss","home_team_hits","home_team_errors","home_team_hr","home_team_sb","home_team_so","away_team_runs","home_team_runs","gameday_link","isHome","score_diff","opponent","wins","opponentAngels","opponentAstros","opponentAthletics","opponentBlue.Jays","opponentBraves","opponentBrewers","opponentCardinals","opponentCubs","opponentD.backs","opponentDodgers","opponentGiants","opponentIndians","opponentMariners","opponentMarlins","opponentMets","opponentNationals","opponentPadres","opponentPhillies","opponentPirates","opponentRangers","opponentRays","opponentRed.Sox","opponentReds","opponentRockies","opponentRoyals","opponentTides","opponentTigers","opponentTwins","opponentWhite.Sox","opponentYankees"
"2014/04/07","Yankees","Orioles",2,5,8,0,"0","0","8",4,3,8,0,"0","0","6",2,4,"2014_04_07_balmlb_nyamlb_1",-1,-2,"Yankees",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2014/04/08","Yankees","Orioles",3,5,20,0,"3","0","8",4,4,13,0,"2","1","8",14,5,"2014_04_08_balmlb_nyamlb_1",-1,9,"Yankees",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2014/04/09","Yankees","Orioles",4,5,12,0,"1","0","5",4,5,10,1,"2","0","12",5,4,"2014_04_09_balmlb_nyamlb_1",-1,1,"Yankees",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2014/04/11","Orioles","Blue Jays",6,5,3,0,"0","0","7",4,6,5,2,"0","0","6",2,0,"2014_04_11_tormlb_balmlb_1",1,-2,"Blue Jays",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2014/04/12","Orioles","Blue Jays",6,6,7,0,"1","1","8",5,6,9,0,"0","1","7",1,2,"2014_04_12_tormlb_balmlb_1",1,1,"Blue Jays",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2014/04/13","Orioles","Blue Jays",7,6,17,1,"3","0","4",5,7,8,0,"2","0","3",11,3,"2014_04_13_tormlb_balmlb_1",1,-8,"Blue Jays",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2014/04/14","Orioles","Rays",7,7,6,0,"0","0","0",6,7,13,0,"0","0","0",1,7,"2014_04_14_tbamlb_balmlb_1",1,6,"Rays",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"2014/04/16","Orioles","Rays",7,8,6,1,"0","0","7",7,7,6,0,"0","2","9",0,3,"2014_04_16_tbamlb_balmlb_1",1,3,"Rays",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"2014/04/18","Red Sox","Orioles",8,7,15,0,"0","1","7",7,10,11,0,"0","0","8",8,4,"2014_04_18_balmlb_bosmlb_1",-1,4,"Red Sox",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"2014/04/19","Red Sox","Orioles",8,8,5,1,"0","2","8",8,10,6,1,"1","0","11",2,4,"2014_04_19_balmlb_bosmlb_1",-1,-2,"Red Sox",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"2014/04/20","Red Sox","Orioles",8,9,12,3,"1","0","9",9,10,8,0,"1","2","9",5,6,"2014_04_20_balmlb_bosmlb_1",-1,-1,"Red Sox",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"2014/04/21","Red Sox","Orioles",9,9,10,0,"0","0","9",9,11,11,0,"2","0","2",7,6,"2014_04_21_balmlb_bosmlb_1",-1,1,"Red Sox",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"2014/04/22","Blue Jays","Orioles",9,10,8,1,"1","0","10",11,9,9,0,"3","0","8",3,9,"2014_04_22_balmlb_tormlb_1",-1,-6,"Blue Jays",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2014/04/23","Blue Jays","Orioles",10,10,12,0,"4","0","12",11,10,16,0,"3","0","8",10,8,"2014_04_23_balmlb_tormlb_1",-1,2,"Blue Jays",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2014/04/24","Blue Jays","Orioles",11,10,14,0,"1","3","5",11,11,7,0,"2","0","12",11,4,"2014_04_24_balmlb_tormlb_1",-1,7,"Blue Jays",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2014/04/25","Orioles","Royals",11,11,11,0,"0","1","10",11,11,7,1,"0","0","5",5,0,"2014_04_25_kcamlb_balmlb_1",1,-5,"Royals",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"2014/04/26","Orioles","Royals",11,12,11,2,"0","0","6",12,11,8,0,"0","0","7",2,3,"2014_04_26_kcamlb_balmlb_1",1,1,"Royals",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"2014/04/27","Orioles","Royals",12,12,13,1,"1","1","10",12,12,5,1,"1","0","4",9,3,"2014_04_27_kcamlb_balmlb_1",1,-6,"Royals",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
